IP address,Organization,Classification
8.8.8.8,Google LLC,bot/server
52.94.10.1,"Amazon.com, Inc.",bot/server
35.190.5.5,Google LLC,bot/server
1.1.1.1,"Cloudflare, Inc.",pc/mobile
185.12.34.56,DIGDEO SAS,pc/mobile
93.173.20.10,Cellcom Fixed Line Communication L.P,pc/mobile
104.21.5.10,"Cloudflare, Inc.",pc/mobile
80.179.33.12,Partner Communications Ltd.,pc/mobile
118.109.94.155,BIGLOBE Inc.,pc/mobile
102.120.76.131,MTN,pc/mobile
166.18.222.97,Unknown,pc/mobile
233.26.29.183,Unknown,pc/mobile
139.138.201.93,Cablenet Communication Systems plc,pc/mobile
252.136.124.148,Unknown,pc/mobile
13.230.118.130,"Amazon.com, Inc.",bot/server
100.85.232.247,Unknown,pc/mobile
185.253.79.61,Unknown,pc/mobile
136.60.218.111,Google Fiber Inc.,bot/server
186.168.241.252,COLOMBIA TELECOMUNICACIONES S.A. ESP BIC,pc/mobile
138.66.137.46,InnovaPuglia SpA,pc/mobile
197.118.37.236,Telecom Algeria,pc/mobile
83.96.153.250,Signet B.V.,pc/mobile
89.210.63.36,Vodafone-panafon Hellenic Telecommunications Company SA,pc/mobile
194.78.126.103,Proximus NV,pc/mobile
62.159.72.156,Deutsche Telekom AG,pc/mobile
89.101.216.95,Liberty Global Europe Holding B.V.,pc/mobile
238.199.187.153,Unknown,pc/mobile
250.121.73.52,Unknown,pc/mobile
9.184.116.125,Unknown,pc/mobile
98.88.98.80,"Amazon.com, Inc.",bot/server
3.8.161.82,"Amazon.com, Inc.",bot/server
185.160.242.100,Unknown,pc/mobile
210.1.41.4,CS LOXINFO PUBLIC COMPANY LIMITED,pc/mobile
183.88.92.63,Triple T Broadband Public Company Limited,pc/mobile
200.168.188.203,TELEFONICA BRASIL S.A,pc/mobile
195.8.95.39,Claranet Limited,pc/mobile
1.251.233.22,SK Broadband Co Ltd,pc/mobile
66.181.150.210,"Ultimate Internet Access, Inc",pc/mobile
227.74.93.37,Unknown,pc/mobile
228.67.251.202,Unknown,pc/mobile
161.150.131.89,PNC Bank N.A.,pc/mobile
56.220.200.46,Unknown,pc/mobile
123.203.58.98,Hong Kong Broadband Network Ltd.,pc/mobile
238.32.64.63,Unknown,pc/mobile
172.231.87.147,Akamai International B.V.,pc/mobile
255.202.33.54,Unknown,pc/mobile
160.74.138.138,Japan Science and Technology Agency,pc/mobile
144.17.215.161,Utah Education Network,pc/mobile
169.65.206.11,Unknown,pc/mobile
185.253.157.90,UltraNET Ltd,pc/mobile
72.11.223.118,MetTel,pc/mobile
147.197.123.238,Jisc Services Limited,pc/mobile
200.149.224.207,V tal,pc/mobile
243.228.171.233,Unknown,pc/mobile
24.248.58.88,Cox Communications Inc.,pc/mobile
236.151.49.202,Unknown,pc/mobile
36.43.133.218,Chinanet,pc/mobile
119.152.37.101,Pakistan Telecommunication Company Limited,pc/mobile
154.213.34.123,POWER LINE DATACENTER,pc/mobile
51.27.163.222,"Amazon.com, Inc.",bot/server
52.147.250.31,Microsoft Corporation,bot/server
76.37.147.189,Charter Communications Inc,pc/mobile
129.224.247.33,"Amazon.com, Inc.",bot/server
98.213.7.156,"Comcast Cable Communications, LLC",pc/mobile
99.173.167.19,"AT&T Enterprises, LLC",pc/mobile
18.171.143.250,"Amazon.com, Inc.",bot/server
124.111.6.241,SK Broadband Co Ltd,pc/mobile
151.222.216.70,Unknown,pc/mobile
218.225.12.37,KDDI CORPORATION,pc/mobile
199.92.68.194,"Level 3 Parent, LLC",pc/mobile
43.115.86.66,Unknown,pc/mobile
26.36.29.152,United States Department of Defense DoD,pc/mobile
166.139.58.137,Verizon Business,pc/mobile
233.57.251.90,Unknown,pc/mobile
135.97.88.189,Unknown,pc/mobile
221.63.199.246,SoftBank Corp.,pc/mobile
238.200.8.232,Unknown,pc/mobile
2.31.220.29,Unknown,pc/mobile
118.223.248.215,SK Broadband Co Ltd,pc/mobile
106.123.76.170,Chinanet,pc/mobile
191.145.31.74,COMUNICACION CELULAR S.A. COMCEL S.A.,pc/mobile
208.46.68.73,"CenturyLink Communications, LLC",pc/mobile
222.53.167.92,Unknown,pc/mobile
123.151.41.121,ASN for TIANJIN Provincial Net of CT,pc/mobile
208.90.122.48,"VOCOM International Telecommunication, INC.",pc/mobile
135.221.23.115,Microsoft Corporation,bot/server
21.98.61.68,United States Department of Defense DoD,pc/mobile
7.100.108.237,United States Department of Defense DoD,pc/mobile
16.91.173.45,"Amazon.com, Inc.",bot/server
92.33.227.85,Telenor Sverige AB,pc/mobile
77.105.219.173,Net at Once Sweden AB,pc/mobile
220.143.134.246,Data Communication Business Group,pc/mobile
178.225.58.242,Odido Netherlands B.V.,pc/mobile
37.66.137.96,Societe Francaise Du Radiotelephone - SFR SA,pc/mobile
107.255.159.253,Unknown,pc/mobile
33.120.226.228,United States Department of Defense DoD,pc/mobile
204.7.106.1,"Cogent Communications, LLC",pc/mobile
26.143.62.145,United States Department of Defense DoD,pc/mobile
191.172.178.165,TIM SA,pc/mobile
28.37.253.118,United States Department of Defense DoD,pc/mobile
125.155.48.58,Korea Telecom,pc/mobile
58.157.139.166,ARTERIA Networks Corporation,pc/mobile
244.146.32.67,Unknown,pc/mobile
18.166.78.168,"Amazon.com, Inc.",bot/server
228.233.72.9,Unknown,pc/mobile
175.125.125.156,SK Broadband Co Ltd,pc/mobile
113.240.93.76,"No.293,Wanbao Avenue",pc/mobile
243.87.111.198,Unknown,pc/mobile
